question,ground_truth,contexts,answer,faithfulness,answer_correctness
পাণ্ডবরা কীভাবে নির্বাসনে এবং ছদ্মবেশে শেষ হয়েছিল?,পাণ্ডবদের নির্বাসনে পাঠানো হয়েছিল এবং পাশা খেলার ফলাফলের অংশ হিসাবে ছদ্মবেশী জীবনযাপন করেছিল যেখানে তারা সবকিছু হারিয়েছিল।,"['তাদের নির্বাসন এবং ছদ্মবেশী সময়ের পরে, পান্ডবরা তাদের রাজ্য ফিরে চেয়েছিল। কূটনৈতিক প্রচেষ্টা'
 'সম্মান জানিয়ে পাঁচ পাণ্ডবেরই সাধারণ স্ত্রী হয়েছিলেন।']",পাণ্ডবরা কূটনৈতিক প্রচেষ্টার পরে নির্বাসন এবং ছদ্মবেশে শেষ হয়েছিল।,1.0,0.22967796419314757
কুরুক্ষেত্র যুদ্ধের উদ্দেশ্য ও তাৎপর্য কী ছিল?,কুরুক্ষেত্র যুদ্ধ ছিল পাণ্ডব ও কৌরবদের মধ্যে পাণ্ডবদের ন্যায্য রাজ্য পুনরুদ্ধার করতে এবং দুই দলের মধ্যে গভীর শত্রুতা নিরসনের জন্য একটি সিদ্ধান্তমূলক যুদ্ধ।,"['ও কৌরবদের মধ্যে মহাকাব্যিক অনুপাতের যুদ্ধ।'
 'কাছে। কৌরব দরবারে দ্রৌপদী অপমানিত হয়েছিলেন, এমন একটি ঘটনা যা মহান যুদ্ধের বীজ বপন করেছিল।']",কুরুক্ষেত্র যুদ্ধের উদ্দেশ্য ছিল কৌরব দরবারে দ্রৌপদী অপমানিত হয়েছিলেন এবং এমন একটি ঘটনা যা মহান যুদ্ধের বীজ বপন করেছিল। তাদের তাৎপর্য ছিল সত্যি ও ন্যায্যের জন্য লড়াই করা।,0.3333333333333333,0.2330358488107958
যুদ্ধক্ষেত্রে অর্জুনের নৈতিক দ্বিধা কী ছিল এবং কৃষ্ণ কীভাবে তা সমাধান করেছিলেন?,"অর্জুন তার নিজের আত্মীয়দের সাথে যুদ্ধ করার বিষয়ে সন্দেহ ও দুঃখে পরিপূর্ণ ছিলেন। কৃষ্ণ, তাঁর সারথি, ভগবদ্গীতায় আধ্যাত্মিক জ্ঞান দিয়েছেন, কর্তব্য (ধর্ম), ধার্মিকতা এবং জীবনের অস্থিরতার উপর জোর দিয়েছেন।","['সত্যিকারের ঐতিহ্য সম্পর্কে শিখে, বীরত্বের সাথে যুদ্ধ করেছিলেন কিন্তু শেষ পর্যন্ত অর্জুনের হাতে নিহত'
 'প্রিয় হয়ে ওঠেন। অর্জুনের পরাক্রমের প্রতি দুর্যোধনের ঈর্ষান্বিত হয়ে বিবাদের বীজ বপন করে।']",অর্জুনের যুদ্ধক্ষেত্রে নৈতিক দ্বিধা হল যুদ্ধে নিজের পরিবার ও প্রিয়জনদের বিরুদ্ধে যুদ্ধ করতে হলে তার মনে দ্বন্দ্ব উঠে উঠেছিল। কৃষ্ণ তা সমাধান করতে গীতা উপদেশের মাধ্যমে অর্জুনকে উচিত করেছিলেন যুদ্ধে দায়িত্ব পালন করার। তার মাধ্যমে অর্জুনের মনকে শান্তি এবং নিষ্কত্রিয়তা অর্জন করেছিলেন।,0.0,0.6454386426503762
"ভীষ্ম, দ্রোণ ও কর্ণ কীভাবে যুদ্ধে তাদের পরিণতি পূরণ করেছিলেন?",শিখণ্ডীর নির্দেশিত অর্জুনের তীর দ্বারা ভীষ্ম নিহত হন। দ্রোণকে হত্যা করা হয়েছিল তার পুত্র অশ্বত্থামাকে মৃত বলে বিশ্বাস করার জন্য। কর্ণ অর্জুন তার আসল উত্তরাধিকার জানতে পেরে তাকে হত্যা করেছিলেন।,"['রক্ষার ব্রত দ্বারা আবদ্ধ ভীষ্ম বীরত্বের সাথে যুদ্ধ করেছিলেন কিন্তু শিখণ্ডীর দ্বারা পরিচালিত'
 'যুদ্ধ আঠারো দিন স্থায়ী হয়েছিল, উভয় পক্ষের প্রচুর ক্ষয়ক্ষতি হয়েছিল। সিংহাসন রক্ষার ব্রত দ্বারা']","ভীষ্ম, দ্রোণ ও কর্ণ যুদ্ধে তাদের পরিণতি পূরণ করেছিলেন এবং তাদের ব্রত দ্বারা আবদ্ধ ভীষ্ম বীরত্বের সাথে যুদ্ধ করেছিলেন। তাদের যুদ্ধ আঠারো দিন স্থায়ী হয়েছিল এবং উভয় পক্ষের প্রচুর ক্ষয়ক্ষতি হয়েছিল। সিংহাসন রক্ষার ব্রত দ্বারা তাদের পরিচালিত হয়েছিল।",,0.6206497534647384
পাণ্ডবদের জন্য কুরুক্ষেত্র যুদ্ধের প্রধান ফলাফল ও পরিণতি কী ছিল?,পান্ডবরা বিজয়ী হয়েছিলেন কিন্তু তাদের পুত্র এবং অসংখ্য যোদ্ধার মৃত্যু সহ উল্লেখযোগ্য ক্ষয়ক্ষতি সহ। যুধিষ্ঠির সিংহাসনে আরোহণ করলেও গভীর শোক ও অপরাধবোধে রয়ে গেলেন।,"['কূটনৈতিক প্রচেষ্টা ব্যর্থ হয়, যার ফলে কুরুক্ষেত্র যুদ্ধ ঘোষণা করা হয়, পাণ্ডব ও কৌরবদের মধ্যে'
 'পুত্র ঘটোৎকচ সহ যোদ্ধাদের সমাধিস্থল।']",পাণ্ডবদের জন্য কুরুক্ষেত্র যুদ্ধের প্রধান ফলাফল ছিল তাদের বিজয়। এর পরিণতি ছিল সম্পূর্ণ রাজ্য দান।,0.0,0.22710648548218426
মৃত্যুর আগে ভীষ্ম কী শিক্ষা দিয়েছিলেন?,"ভীষ্ম তার তীরের বিছানায় শুয়ে রাষ্ট্রনীতি, কর্তব্য এবং ধর্মের পাঠ শিখিয়েছিলেন।","['ধর্ম সম্পর্কে গভীর শিক্ষা দিয়েছিলেন।'
 'ধার্মিকতা এবং জীবনের অস্থিরতার উপর জোর দিয়েছিলেন।']",ভীষ্ম মৃত্যুর আগে ধর্ম সম্পর্কে গভীর শিক্ষা দিয়েছিলেন। তার মধ্যে ধার্মিকতা এবং জীবনের অস্থিরতার উপর জোর দিয়েছিলেন।,1.0,0.2332341583208935
হিমালয়ে যুধিষ্ঠিরের চূড়ান্ত যাত্রার তাৎপর্য কী ছিল?,যুধিষ্ঠিরের শেষ যাত্রা ত্যাগ এবং আধ্যাত্মিক সত্যের সন্ধানের প্রতীক। এটি পাণ্ডবদের পার্থিব শাসনের সমাপ্তি এবং পরকালের জন্য তাদের প্রস্তুতিকে চিহ্নিত করেছিল।,"['মহৎ নগরীতে বিকশিত করেছিল। তাদের সমৃদ্ধি দুর্যোধনের হিংসা বাড়িয়ে দেয়। পাশা খেলার সময়, যুধিষ্ঠির'
 'ত্রুটির প্রতীক হয়ে পড়েছিল। ধর্মের প্রতিনিধিত্বকারী একটি কুকুরের সাথে যুধিষ্ঠির স্বর্গের দরজায়']",আমি জানি না।,0.0,0.2036962683983431
যমের দ্বারা যুধিষ্ঠিরের যাত্রা এবং চূড়ান্ত পরীক্ষা কিসের প্রতীক ছিল?,যমের দ্বারা যুধিষ্ঠিরের যাত্রা এবং পরীক্ষা তার ধার্মিকতা এবং ধর্মের প্রতি আনুগত্যের চূড়ান্ত মূল্যায়নের প্রতীক। তার সাফল্য তাকে স্বর্গে স্থান দিয়েছে।,"['সময়, যুধিষ্ঠির তার রাজ্য, ভাই এবং দ্রৌপদী সহ সবকিছু হারিয়েছিলেন দুর্যোধনের কাছে। কৌরব দরবারে'
 'যুধিষ্ঠির সিংহাসনে আরোহণ করেছিলেন, ন্যায়পরায়ণ ও বিজ্ঞতার সাথে শাসন করেছিলেন, কিন্তু বিজয় ছিল']",উত্তর: যমের দ্বারা যুধিষ্ঠিরের যাত্রা এবং চূড়ান্ত পরীক্ষা মৃত্যুর প্রতীক ছিল।,0.0,0.2304853228446224
"মহাভারত কীভাবে কর্তব্য, ধার্মিকতা এবং জীবন ও মৃত্যুর চক্রের থিমগুলিকে সম্বোধন করে?","মহাভারত এই থিমগুলিকে তার চরিত্রগুলির নৈতিক দ্বিধাগুলির সাথে সংগ্রাম, কর্তব্যের (ধর্ম) প্রতি তাদের আনুগত্য এবং কুরুক্ষেত্র যুদ্ধ এবং যুধিষ্ঠিরের চূড়ান্ত যাত্রায় চিত্রিত জীবন ও মৃত্যুর অস্থিরতার মাধ্যমে এই বিষয়গুলি অন্বেষণ করে।","['ধার্মিকতা এবং জীবনের অস্থিরতার উপর জোর দিয়েছিলেন।'
 'গুরুত্ব এবং জীবন ও মৃত্যুর অনিবার্য চক্রকে আচ্ছন্ন করেছে। এটি আধ্যাত্মিক এবং নৈতিক দিকনির্দেশনার']","মহাভারত কর্তব্য, ধার্মিকতা এবং জীবন ও মৃত্যুর চক্রের থিমগুলিকে উল্লেখ করে।",0.0,0.9788966933841647
মহাভারত কোন স্থায়ী পাঠ এবং আধ্যাত্মিক নির্দেশনা প্রদান করে?,"মহাভারত কর্তব্য, ন্যায়পরায়ণতা এবং মানব প্রকৃতির জটিলতার গুরুত্ব সম্পর্কে পাঠ প্রদান করে। এটি পুণ্যময় জীবনযাপন, জীবনের অস্থিরতা বোঝা এবং ধর্ম অনুসরণের বিষয়ে আধ্যাত্মিক নির্দেশনা প্রদান করে।","['রূপ দেবে এবং নিরবধি পাঠ দেবে। এই মহাকাব্যটি ছিল মহাভারত, দ্বন্দ্ব, কর্তব্য, ন্যায়পরায়ণতা এবং'
 'ধার্মিকতা এবং জীবনের অস্থিরতার উপর জোর দিয়েছিলেন।']",মহাভারত একটি স্থায়ী পাঠ এবং আধ্যাত্মিক নির্দেশনা প্রদান করে।,0.6666666666666666,0.7296930696203654
