question,ground_truth,contexts,answer,faithfulness,answer_correctness
पांडवों को वनवास और अज्ञातवास कैसे मिला?,"पांडवों को वनवास भेज दिया गया और पासा के खेल के परिणामों के रूप में वे गुप्त रूप से जीवन व्यतीत कर रहे थे, जहाँ उन्होंने अपना सब कुछ खो दिया।","['अपने वनवास और अज्ञातवास के बाद पांडवों ने अपना राज्य वापस मांगा। कूटनीतिक प्रयास विफल होने के कारण,'
 'उन्हें अपने बेटों के साथ पाला। कौरवों और पांडवों के बीच प्रतिद्वंद्विता तीव्र हो गई, खासकर दुर्योधन']",पांडवों को वनवास और अज्ञातवास मिला था क्योंकि उनके कूटनीतिक प्रयास विफल होने के कारण वे अपना राज्य वापस मांगने पर मजबूर हुए थे। इसके बाद उन्हें उनके बेटों के साथ पाला गया।,0.0,0.48086945290805305
कुरुक्षेत्र युद्ध का उद्देश्य और महत्व क्या था?,"कुरुक्षेत्र युद्ध पांडवों और कौरवों के बीच एक निर्णायक युद्ध था, जिसका उद्देश्य पांडवों के अधिकार वाले राज्य को पुनः प्राप्त करना और दो गुटों के बीच गहरी दुश्मनी को हल करना था।","['विफल होने के कारण, कुरुक्षेत्र युद्ध की घोषणा हुई, जो पांडवों और कौरवों के बीच एक महाकाव्य युद्ध'
 'एक महाकाव्य युद्ध था।']","आधार के अनुसार, कुरुक्षेत्र युद्ध का उद्देश्य था जीत की प्राप्ति और अधर्म के विनाश के लिए लड़ा जाना। यह एक महाकाव्य युद्ध था जिसमें पांडवों और कौरवों के बीच भगवान कृष्ण के माध्यम से धर्म और अधर्म की लड़ाई भी थी। इस युद्ध का महत्व उसके द्वारा अधर्म के विनाश और धर्म की विजय के लिए था।",0.5,0.7786036047702424
युद्ध के मैदान में अर्जुन की नैतिक दुविधा क्या थी और कृष्ण ने इसे कैसे संबोधित किया?,"अर्जुन अपने ही रिश्तेदारों से लड़ने को लेकर संदेह और दुःख से भरे हुए थे। उनके सारथी कृष्ण ने भगवद गीता में आध्यात्मिक ज्ञान दिया, जिसमें कर्तव्य (धर्म), धार्मिकता और जीवन की नश्वरता पर जोर दिया गया।","['अपनी असली विरासत का पता चलने पर, उसने वीरतापूर्वक युद्ध लड़ा, लेकिन अंततः अर्जुन द्वारा मारा गया।'
 'इस युद्ध से भगवद गीता नामक पवित्र ग्रंथ का उद्भव हुआ। युद्ध के मैदान में अर्जुन अपने सगे-संबंधियों']",अर्जुन की नैतिक दुविधा उस समय थी कि वह युद्ध में अपने सगे-संबंधियों को मारने का विचार कर रहा था। कृष्ण ने इस नैतिक दुविधा को समझाने के लिए अर्जुन को भगवद गीता के माध्यम से उपदेश दिया और उसे युद्ध करने की परम्परा और धर्म के महत्व के बारे में बताया। उसने अर्जुन को युद्ध करने का धर्म समझाते हुए उसे युद्ध के लिए तैयार करने का प्रयास किया।,0.3333333333333333,0.6827046346480002
"भीष्म, द्रोण और कर्ण युद्ध में कैसे मारे गए?",शिखंडी द्वारा निर्देशित अर्जुन के बाणों से भीष्म गिर गए। द्रोण को धोखे से यह विश्वास दिलाकर मार दिया गया कि उनका पुत्र अश्वत्थामा मर चुका है। कर्ण को उसकी असली विरासत का पता चलने के बाद अर्जुन ने मार डाला।,"['गई, खासकर दुर्योधन और भीम के बीच।'
 'थी। भीष्म, द्रोण और विदुर जैसे ज्येष्ठों ने कृष्ण के साथ मिलकर युधिष्ठिर को ज्ञान प्रदान किया,']",मुझे नहीं पता।,,0.19939071322342886
पांडवों के लिए कुरुक्षेत्र युद्ध के प्रमुख परिणाम और परिणाम क्या थे?,"पांडव विजयी हुए, लेकिन उन्हें बहुत बड़ी कीमत चुकानी पड़ी, जिसमें उनके पुत्रों और कई योद्धाओं की मृत्यु भी शामिल थी। युधिष्ठिर सिंहासन पर बैठे, लेकिन उन्हें गहरा दुख और अपराध बोध था।","['विफल होने के कारण, कुरुक्षेत्र युद्ध की घोषणा हुई, जो पांडवों और कौरवों के बीच एक महाकाव्य युद्ध'
 'एक महाकाव्य युद्ध था।']","विफल होने के कारण, पांडवों के लिए कुरुक्षेत्र युद्ध के प्रमुख परिणाम थे कि उन्हें अपने सहायकों, सजीवित के कुछ अधिकांश मित्रों और परिवार के सदस्यों को खोना पड़ा। इस युद्ध के दौरान उन्हें बहुत से प्रियजनों की मौत का सामना करना पड़ा।

मुझे नहीं पता।",0.0,0.22432705322388288
भीष्म ने अपनी मृत्यु से पहले क्या शिक्षाएँ दीं?,"भीष्म ने बाणों की शय्या पर लेटे हुए राजनीतिज्ञों को राजनीति, कर्तव्य और धर्म का पाठ पढ़ाया।","['बाणों की शय्या पर लेटे भीष्म ने अपनी मृत्यु से पहले राजकौशल, कर्तव्य और धर्म पर गहन शिक्षाएँ दीं।'
 'में भीष्म के नाम से जाना गया। भीष्म ने अपने पिता की खुशी सुनिश्चित करने के लिए ब्रह्मचर्य की शपथ']","भीष्म ने अपनी मृत्यु से पहले राजकौशल, कर्तव्य और धर्म पर गहन शिक्षाएँ दीं।",1.0,0.22810250541203742
युधिष्ठिर की हिमालय की अंतिम यात्रा का क्या महत्व था?,युधिष्ठिर की अंतिम यात्रा त्याग और आध्यात्मिक सत्य की खोज का प्रतीक थी। इसने पांडवों के सांसारिक शासन के अंत और परलोक की तैयारी को चिह्नित किया।,"['पर, युधिष्ठिर की धार्मिकता ने उन्हें स्वर्ग में स्थान दिलाया।'
 'युधिष्ठिर सिंहासन पर बैठे, न्यायपूर्ण और बुद्धिमानी से शासन किया, लेकिन जीत खोखली थी। भीष्म, द्रोण']",युधिष्ठिर की हिमालय की अंतिम यात्रा का महत्व यह था कि उनकी धार्मिकता ने उन्हें स्वर्ग में स्थान दिलाया।,0.0,0.23067365833362785
युधिष्ठिर की यात्रा और यम द्वारा अंतिम परीक्षा किस बात का प्रतीक थी?,युधिष्ठिर की यात्रा और यम द्वारा परीक्षा उनकी धार्मिकता और धर्म के पालन के अंतिम मूल्यांकन का प्रतीक थी। उनकी सफलता ने उन्हें स्वर्ग में स्थान दिलाया।,"['पर जोर देते हुए गहन आध्यात्मिक ज्ञान प्रदान किया।'
 'पर, युधिष्ठिर की धार्मिकता ने उन्हें स्वर्ग में स्थान दिलाया।']",युधिष्ठिर की यात्रा और यम द्वारा अंतिम परीक्षा धर्म का प्रतीक था।,0.5,0.7404075860641827
"महाभारत कर्तव्य, धार्मिकता और जीवन और मृत्यु के चक्र के विषयों को कैसे संबोधित करता है?","महाभारत अपने पात्रों के नैतिक दुविधाओं से संघर्ष, कर्तव्य (धर्म) के प्रति उनके पालन और जीवन और मृत्यु की नश्वरता के माध्यम से इन विषयों की खोज करता है, जैसा कि कुरुक्षेत्र युद्ध और युधिष्ठिर की अंतिम यात्रा में दर्शाया गया है।","['के महत्व और जीवन और मृत्यु के अपरिहार्य चक्र को समाहित किया गया है। यह आध्यात्मिक और नैतिक'
 'सारथी और विष्णु के अवतार थे, ने कर्तव्य, धार्मिकता और जीवन की नश्वरता पर जोर देते हुए गहन']","महाभारत कर्तव्य, धार्मिकता और जीवन और मृत्यु के चक्र को समाहित करता है। इसमें आध्यात्मिक और नैतिक मुद्दे उठाए गए हैं और कर्तव्य, धार्मिकता और जीवन की नश्वरता पर जोर दिया गया है। इसमें सारथी और विष्णु के अवतार के रूप में कृष्ण के चरित्र के माध्यम से ये मुद्दे प्रस्तुत किए गए हैं।",0.0,0.5632959331535458
महाभारत क्या स्थायी सबक और आध्यात्मिक मार्गदर्शन प्रदान करता है?,"महाभारत कर्तव्य, धार्मिकता और मानव स्वभाव की जटिलताओं के महत्व पर शिक्षा प्रदान करता है। यह सद्गुणी जीवन जीने, जीवन की नश्वरता को समझने और धर्म की खोज पर आध्यात्मिक मार्गदर्शन प्रदान करता है।","['आध्यात्मिक और नैतिक मार्गदर्शन का स्रोत बना हुआ है, जिसने अनगिनत पीढ़ियों को प्रेरित किया है।'
 'महाभारत था, संघर्ष, कर्तव्य, धर्म और भाग्य की कहानी।']","महाभारत एक स्थायी सबक और आध्यात्मिक मार्गदर्शन प्रदान करता है, जो संघर्ष, कर्तव्य, धर्म और भाग्य की कहानी के माध्यम से अनगिनत पीढ़ियों को प्रेरित किया है।",0.0,0.5998062956723457
