question,ground_truth,contexts,answer
মৃত্যুর আগে ভীষ্ম কী শিক্ষা দিয়েছিলেন?,"ভীষ্ম তার তীরের বিছানায় শুয়ে রাষ্ট্রনীতি, কর্তব্য এবং ধর্মের পাঠ শিখিয়েছিলেন।",,
হিমালয়ে যুধিষ্ঠিরের চূড়ান্ত যাত্রার তাৎপর্য কী ছিল?,যুধিষ্ঠিরের শেষ যাত্রা ত্যাগ এবং আধ্যাত্মিক সত্যের সন্ধানের প্রতীক। এটি পাণ্ডবদের পার্থিব শাসনের সমাপ্তি এবং পরকালের জন্য তাদের প্রস্তুতিকে চিহ্নিত করেছিল।,,
যমের দ্বারা যুধিষ্ঠিরের যাত্রা এবং চূড়ান্ত পরীক্ষা কিসের প্রতীক ছিল?,যমের দ্বারা যুধিষ্ঠিরের যাত্রা এবং পরীক্ষা তার ধার্মিকতা এবং ধর্মের প্রতি আনুগত্যের চূড়ান্ত মূল্যায়নের প্রতীক। তার সাফল্য তাকে স্বর্গে স্থান দিয়েছে।,,
"মহাভারত কীভাবে কর্তব্য, ধার্মিকতা এবং জীবন ও মৃত্যুর চক্রের থিমগুলিকে সম্বোধন করে?","মহাভারত এই থিমগুলিকে তার চরিত্রগুলির নৈতিক দ্বিধাগুলির সাথে সংগ্রাম, কর্তব্যের (ধর্ম) প্রতি তাদের আনুগত্য এবং কুরুক্ষেত্র যুদ্ধ এবং যুধিষ্ঠিরের চূড়ান্ত যাত্রায় চিত্রিত জীবন ও মৃত্যুর অস্থিরতার মাধ্যমে এই বিষয়গুলি অন্বেষণ করে।",,
মহাভারত কোন স্থায়ী পাঠ এবং আধ্যাত্মিক নির্দেশনা প্রদান করে?,"মহাভারত কর্তব্য, ন্যায়পরায়ণতা এবং মানব প্রকৃতির জটিলতার গুরুত্ব সম্পর্কে পাঠ প্রদান করে। এটি পুণ্যময় জীবনযাপন, জীবনের অস্থিরতা বোঝা এবং ধর্ম অনুসরণের বিষয়ে আধ্যাত্মিক নির্দেশনা প্রদান করে।",,
Who was the ruler of Hastinapura at the beginning of the Mahabharata?,King Shantanu.,,
"What vow did Bhishma take, and why?","Bhishma took a vow of celibacy to ensure his father's happiness and to allow his father, Shantanu, to marry Satyavati.",,
Who were the sons of King Shantanu and Satyavati?,Chitrangada and Vichitravirya.,,
How did Dhritarashtra and Pandu come into existence?,"Dhritarashtra and Pandu were born through Niyoga, a practice where Vyasa fathered children with the queens Ambika and Ambalika due to Vichitravirya's death.",,
What was the significance of Kunti’s divine boons in the Mahabharata?,"Kunti used the divine boons to bear sons from gods, thus ensuring the birth of the Pandavas: Yudhishthira, Bhima, and Arjuna.",,
"Who were the five Pandavas, and who were their mothers?","The five Pandavas were Yudhishthira (son of Dharma), Bhima (son of Vayu), Arjuna (son of Indra), Nakula, and Sahadeva (sons of the Ashwini twins). Kunti was the mother of Yudhishthira, Bhima, and Arjuna, while Madri was the mother of Nakula and Sahadeva.",,
How did Drona become the teacher of the Kaurava and Pandava princes?,Drona was appointed as their teacher to impart advanced military skills.,,
What led to the rivalry between Arjuna and Karna?,"Karna, initially an unknown warrior, challenged Arjuna at Draupadi’s swayamvara. Karna's resentment stemmed from his lowly upbringing despite his royal blood, and Duryodhana's support of Karna deepened the rivalry.",,
What was the role of Draupadi in the Pandavas' lives?,Draupadi became the common wife of all five Pandavas due to a misunderstanding at her swayamvara. Her humiliation in the Kaurava court was a key event leading to the great war.,,
What happened during the game of dice between Yudhishthira and Duryodhana?,"Yudhishthira lost everything to Duryodhana, including his kingdom, brothers, and Draupadi, leading to the Pandavas' exile.",,
How did the Pandavas end up in exile and incognito?,The Pandavas were sent into exile and lived incognito as part of the consequences of the game of dice where they lost everything.,,
What was the purpose and significance of the Kurukshetra War?,The Kurukshetra War was a decisive battle between the Pandavas and Kauravas to reclaim the Pandavas’ rightful kingdom and resolve the deep-seated enmity between the two factions.,,
"What was Arjuna's moral dilemma on the battlefield, and how did Krishna address it?","Arjuna was filled with doubt and sorrow about fighting his own kin. Krishna, his charioteer, imparted spiritual wisdom in the Bhagavad Gita, emphasizing duty (dharma), righteousness, and the impermanence of life.",,
"How did Bhishma, Drona, and Karna meet their end in the war?","Bhishma was felled by Arjuna’s arrows, guided by Shikhandi. Drona was killed after being tricked into believing his son Ashwatthama was dead. Karna was slain by Arjuna after learning his true heritage.",,
What were the major outcomes and consequences of the Kurukshetra War for the Pandavas?,"The Pandavas emerged victorious but at a great cost, with significant losses including the death of their sons and numerous warriors. Yudhishthira ascended the throne but was left with deep grief and guilt.",,
What teachings did Bhishma impart before his death?,"Bhishma taught lessons on statesmanship, duty, and dharma while lying on his bed of arrows.",,
What was the significance of Yudhishthira’s final journey to the Himalayas?,Yudhishthira's final journey symbolized renunciation and the quest for spiritual truth. It marked the end of the Pandavas' earthly rule and their preparation for the afterlife.,,
What did Yudhishthira’s journey and final test by Yama symbolize?,Yudhishthira’s journey and test by Yama symbolized the ultimate evaluation of his righteousness and adherence to dharma. His success earned him a place in heaven.,,
"How does the Mahabharata address themes of duty, righteousness, and the cycle of life and death?","The Mahabharata explores these themes through its characters' struggles with moral dilemmas, their adherence to duty (dharma), and the impermanence of life and death as illustrated in the Kurukshetra War and Yudhishthira’s final journey.",,
What enduring lessons and spiritual guidance does the Mahabharata provide?,"The Mahabharata provides lessons on the importance of duty, righteousness, and the complexities of human nature. It offers spiritual guidance on living a life of virtue, understanding the impermanence of life, and the pursuit of dharma.",,
महाभारत की शुरुआत में हस्तिनापुर का शासक कौन था?  ,राजा शांतनु।,,
भीष्म ने क्या प्रतिज्ञा ली और क्यों?,भीष्म ने अपने पिता की खुशी सुनिश्चित करने और अपने पिता शांतनु को सत्यवती से विवाह करने की अनुमति देने के लिए ब्रह्मचर्य की शपथ ली।,,
राजा शांतनु और सत्यवती के पुत्र कौन थे?,चित्रांगदा और विचित्रवीर्य।,,
धृतराष्ट्र और पांडु कैसे अस्तित्व में आए?,"धृतराष्ट्र और पांडु नियोग के माध्यम से पैदा हुए थे, एक प्रथा जिसके तहत व्यास ने विचित्रवीर्य की मृत्यु के कारण रानियों अंबिका और अंबालिका के साथ बच्चों को जन्म दिया था।",,
महाभारत में कुंती के दिव्य वरदानों का क्या महत्व था?,"कुंती ने देवताओं से पुत्रों को जन्म देने के लिए दिव्य वरदानों का उपयोग किया, इस प्रकार पांडवों का जन्म सुनिश्चित हुआ: युधिष्ठिर, भीम और अर्जुन।",,
पाँच पांडव कौन थे और उनकी माताएँ कौन थीं? ,"पाँच पांडव युधिष्ठिर (धर्म के पुत्र), भीम (वायु के पुत्र), अर्जुन (इंद्र के पुत्र), नकुल और सहदेव (अश्विनी के जुड़वाँ पुत्र) थे। कुंती युधिष्ठिर, भीम और अर्जुन की माँ थीं, जबकि माद्री नकुल और सहदेव की माँ थीं।",,
द्रोण कौरव और पांडव राजकुमारों के गुरु कैसे बने? ,द्रोण को उन्नत सैन्य कौशल प्रदान करने के लिए उनका शिक्षक नियुक्त किया गया था।,,
अर्जुन और कर्ण के बीच प्रतिद्वंद्विता का कारण क्या था?,"कर्ण, जो शुरू में एक अज्ञात योद्धा था, ने द्रौपदी के स्वयंवर में अर्जुन को चुनौती दी। कर्ण की नाराजगी उसके शाही खून के बावजूद उसके निम्न पालन-पोषण से उपजी थी, और दुर्योधन द्वारा कर्ण का समर्थन करने से प्रतिद्वंद्विता और भी गहरी हो गई।",,
पांडवों के जीवन में द्रौपदी की क्या भूमिका थी?,"द्रौपदी अपने स्वयंवर में हुई गलतफहमी के कारण सभी पाँच पांडवों की आम पत्नी बन गई। कौरव दरबार में उसका अपमान एक महत्वपूर्ण घटना थी, जिसके कारण महान युद्ध हुआ।",,
युधिष्ठिर और दुर्योधन के बीच पासा के खेल के दौरान क्या हुआ? ,"युधिष्ठिर ने अपना राज्य, भाई और द्रौपदी सहित दुर्योधन के हाथों अपना सब कुछ खो दिया, जिसके कारण पांडवों को वनवास जाना पड़ा।",,
पांडवों को वनवास और अज्ञातवास कैसे मिला?,"पांडवों को वनवास भेज दिया गया और पासा के खेल के परिणामों के रूप में वे गुप्त रूप से जीवन व्यतीत कर रहे थे, जहाँ उन्होंने अपना सब कुछ खो दिया।",,
कुरुक्षेत्र युद्ध का उद्देश्य और महत्व क्या था?,"कुरुक्षेत्र युद्ध पांडवों और कौरवों के बीच एक निर्णायक युद्ध था, जिसका उद्देश्य पांडवों के अधिकार वाले राज्य को पुनः प्राप्त करना और दो गुटों के बीच गहरी दुश्मनी को हल करना था।",,
युद्ध के मैदान में अर्जुन की नैतिक दुविधा क्या थी और कृष्ण ने इसे कैसे संबोधित किया?,"अर्जुन अपने ही रिश्तेदारों से लड़ने को लेकर संदेह और दुःख से भरे हुए थे। उनके सारथी कृष्ण ने भगवद गीता में आध्यात्मिक ज्ञान दिया, जिसमें कर्तव्य (धर्म), धार्मिकता और जीवन की नश्वरता पर जोर दिया गया।",,
"भीष्म, द्रोण और कर्ण युद्ध में कैसे मारे गए?",शिखंडी द्वारा निर्देशित अर्जुन के बाणों से भीष्म गिर गए। द्रोण को धोखे से यह विश्वास दिलाकर मार दिया गया कि उनका पुत्र अश्वत्थामा मर चुका है। कर्ण को उसकी असली विरासत का पता चलने के बाद अर्जुन ने मार डाला।,,
पांडवों के लिए कुरुक्षेत्र युद्ध के प्रमुख परिणाम और परिणाम क्या थे?,"पांडव विजयी हुए, लेकिन उन्हें बहुत बड़ी कीमत चुकानी पड़ी, जिसमें उनके पुत्रों और कई योद्धाओं की मृत्यु भी शामिल थी। युधिष्ठिर सिंहासन पर बैठे, लेकिन उन्हें गहरा दुख और अपराध बोध था।",,
भीष्म ने अपनी मृत्यु से पहले क्या शिक्षाएँ दीं?,"भीष्म ने बाणों की शय्या पर लेटे हुए राजनीतिज्ञों को राजनीति, कर्तव्य और धर्म का पाठ पढ़ाया।",,
युधिष्ठिर की हिमालय की अंतिम यात्रा का क्या महत्व था?,युधिष्ठिर की अंतिम यात्रा त्याग और आध्यात्मिक सत्य की खोज का प्रतीक थी। इसने पांडवों के सांसारिक शासन के अंत और परलोक की तैयारी को चिह्नित किया।,,
युधिष्ठिर की यात्रा और यम द्वारा अंतिम परीक्षा किस बात का प्रतीक थी?,युधिष्ठिर की यात्रा और यम द्वारा परीक्षा उनकी धार्मिकता और धर्म के पालन के अंतिम मूल्यांकन का प्रतीक थी। उनकी सफलता ने उन्हें स्वर्ग में स्थान दिलाया।,,
"महाभारत कर्तव्य, धार्मिकता और जीवन और मृत्यु के चक्र के विषयों को कैसे संबोधित करता है?","महाभारत अपने पात्रों के नैतिक दुविधाओं से संघर्ष, कर्तव्य (धर्म) के प्रति उनके पालन और जीवन और मृत्यु की नश्वरता के माध्यम से इन विषयों की खोज करता है, जैसा कि कुरुक्षेत्र युद्ध और युधिष्ठिर की अंतिम यात्रा में दर्शाया गया है।",,
महाभारत क्या स्थायी सबक और आध्यात्मिक मार्गदर्शन प्रदान करता है?,"महाभारत कर्तव्य, धार्मिकता और मानव स्वभाव की जटिलताओं के महत्व पर शिक्षा प्रदान करता है। यह सद्गुणी जीवन जीने, जीवन की नश्वरता को समझने और धर्म की खोज पर आध्यात्मिक मार्गदर्शन प्रदान करता है।",,
